College grounds,Diameter breast height (cm),Colour (B/RB/G),Height (cm),Bird bites,Rodent bites,Insect bites,Snail marks,All Bites,"missing, fallen"
Magdalene,80,B,30,0,0,8,0,8,
Magdalene,80,RB,30,0,0,8,0,8,
Magdalene,80,G,30,0,0,0,0,0,missing
Magdalene,80,B,45,0,0,0,0,0,missing
Magdalene,80,RB,45,0,0,6,0,6,
Magdalene,80,G,45,0,0,0,3,3,
Magdalene,80,B,60,0,0,4,0,4,
Magdalene,80,RB,60,0,0,7,0,7,
Magdalene,80,G,60,0,0,2,0,2,
,,,,,,,,,
Clare,110,RB,30,1,0,2,4,7,
Clare,110,RB,45,0,0,2,5,7,
Clare,110,RB,60,0,0,1,7,8,
Clare,110,B,30,0,0,2,0,2,
Clare,110,B,45,0,0,3,0,3,
Clare,110,B,60,0,0,7,2,9,
Clare,110,G,30,0,1,4,0,5,
Clare,110,G,45,0,0,2,0,2,
Clare,110,G,60,0,0,4,0,4,
,,,,,,,,,
St Catharine's,60,RB,30,0,0,0,0,0,
St Catharine's,60,RB,45,0,0,0,0,0,
St Catharine's,60,RB,60,0,0,0,0,0,
St Catharine's,60,G,30,0,0,0,0,0,
St Catharine's,60,G,45,0,0,0,0,0,
St Catharine's,60,G,60,0,0,0,0,0,
St Catharine's,60,B,30,0,0,1,0,1,
St Catharine's,60,B,45,0,0,0,0,0,
St Catharine's,60,B,60,0,0,0,0,0,
,,,,,,,,,
Jesus,40,RB,30,0,2,0,0,2,
Jesus,40,RB,45,0,0,0,0,0,
Jesus,40,RB,60,0,1,0,0,1,missing
Jesus,40,G,30,0,0,0,0,0,
Jesus,40,G,45,0,0,0,0,0,
Jesus,40,G,60,0,0,0,0,0,missing
Jesus,40,B,30,0,0,0,5,5,
Jesus,40,B,45,0,0,0,0,0,
Jesus,40,B,60,0,0,0,0,0,
,,,,,,,,,
St. John's,70,RB,30,0,0,0,0,0,
St. John's,70,RB,45,0,0,5,0,5,
St. John's,70,RB,60,0,0,6,0,6,
St. John's,70,G,30,0,0,7,0,7,
St. John's,70,G,45,0,0,3,0,3,
St. John's,70,G,60,0,0,0,0,0,
St. John's,70,B,30,0,0,7,0,7,
St. John's,70,B,45,0,0,9,0,9,
St. John's,70,B,60,0,4,2,0,6,
,,,,,,,,,
Pembroke,60,G,30,1,0,2,0,3,
Pembroke,60,RB,30,0,0,2,0,2,
Pembroke,60,B,30,0,0,3,0,3,
Pembroke,60,G,45,0,0,1,0,1,
Pembroke,60,RB,45,0,0,3,0,3,
Pembroke,60,B,45,0,0,1,4,5,
Pembroke,60,G,60,0,0,0,0,0,
Pembroke,60,RB,60,1,0,0,3,4,
Pembroke,60,B,60,0,0,0,0,0,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Downing,45,G,30,0,0,2,0,2,
Downing,45,B,30,0,0,0,0,0,fallen
Downing,45,RB,30,0,0,0,0,0,fallen
Downing,45,G,45,0,0,2,0,2,
Downing,45,B,45,0,1,0,0,1,
Downing,45,RB,45,0,0,0,0,0,
Downing,45,G,60,0,0,3,0,3,
Downing,45,B,60,1,0,1,0,2,
Downing,45,RB,60,0,0,0,0,0,
,,,,,,,,,
St. John's,25,G,30,0,0,3,0,3,fallen
St. John's,25,G,45,0,0,11,0,11,
St. John's,25,G,60,0,0,1,0,1,
St. John's,25,B,30,0,0,1,0,1,
St. John's,25,B,45,0,0,0,0,0,fallen
St. John's,25,B,60,0,0,1,0,1,
St. John's,25,RB,30,0,0,4,0,4,fallen
St. John's,25,RB,45,0,0,0,0,0,fallen
St. John's,25,RB,60,0,0,1,0,1,fallen
,,,,,,,,,
Downing,40,G,30,0,0,8,2,10,
