"","College.grounds","Diameter.breast.height..cm.","Colour..B.RB.G.","Height..cm.","Bird.bites","Rodent.bites","Insect.bites","Snail.marks","All.Bites","missing..fallen"
"1","Magdalene","80","B",30,0,0,8,0,8,""
"2","Magdalene","80","RB",30,0,0,8,0,8,""
"3","Magdalene","80","G",30,0,0,0,0,0,"missing"
"4","Magdalene","80","B",45,0,0,0,0,0,"missing"
"5","Magdalene","80","RB",45,0,0,6,0,6,""
"6","Magdalene","80","G",45,0,0,0,3,3,""
"7","Magdalene","80","B",60,0,0,4,0,4,""
"8","Magdalene","80","RB",60,0,0,7,0,7,""
"9","Magdalene","80","G",60,0,0,2,0,2,""
"11","Clare","110","RB",30,1,0,2,4,7,""
"12","Clare","110","RB",45,0,0,2,5,7,""
"13","Clare","110","RB",60,0,0,1,7,8,""
"14","Clare","110","B",30,0,0,2,0,2,""
"15","Clare","110","B",45,0,0,3,0,3,""
"16","Clare","110","B",60,0,0,7,2,9,""
"17","Clare","110","G",30,0,1,4,0,5,""
"18","Clare","110","G",45,0,0,2,0,2,""
"19","Clare","110","G",60,0,0,4,0,4,""
"21","St Catharine's","60","RB",30,0,0,0,0,0,""
"22","St Catharine's","60","RB",45,0,0,0,0,0,""
"23","St Catharine's","60","RB",60,0,0,0,0,0,""
"24","St Catharine's","60","G",30,0,0,0,0,0,""
"25","St Catharine's","60","G",45,0,0,0,0,0,""
"26","St Catharine's","60","G",60,0,0,0,0,0,""
"27","St Catharine's","60","B",30,0,0,1,0,1,""
"28","St Catharine's","60","B",45,0,0,0,0,0,""
"29","St Catharine's","60","B",60,0,0,0,0,0,""
"31","Jesus","40","RB",30,0,2,0,0,2,""
"32","Jesus","40","RB",45,0,0,0,0,0,""
"33","Jesus","40","RB",60,0,1,0,0,1,"missing"
"34","Jesus","40","G",30,0,0,0,0,0,""
"35","Jesus","40","G",45,0,0,0,0,0,""
"36","Jesus","40","G",60,0,0,0,0,0,"missing"
"37","Jesus","40","B",30,0,0,0,5,5,""
"38","Jesus","40","B",45,0,0,0,0,0,""
"39","Jesus","40","B",60,0,0,0,0,0,""
"41","St. John's","70","RB",30,0,0,0,0,0,""
"42","St. John's","70","RB",45,0,0,5,0,5,""
"43","St. John's","70","RB",60,0,0,6,0,6,""
"44","St. John's","70","G",30,0,0,7,0,7,""
"45","St. John's","70","G",45,0,0,3,0,3,""
"46","St. John's","70","G",60,0,0,0,0,0,""
"47","St. John's","70","B",30,0,0,7,0,7,""
"48","St. John's","70","B",45,0,0,9,0,9,""
"49","St. John's","70","B",60,0,4,2,0,6,""
"51","Pembroke","60","G",30,1,0,2,0,3,""
"52","Pembroke","60","RB",30,0,0,2,0,2,""
"53","Pembroke","60","B",30,0,0,3,0,3,""
"54","Pembroke","60","G",45,0,0,1,0,1,""
"55","Pembroke","60","RB",45,0,0,3,0,3,""
"56","Pembroke","60","B",45,0,0,1,4,5,""
"57","Pembroke","60","G",60,0,0,0,0,0,""
"58","Pembroke","60","RB",60,1,0,0,3,4,""
"59","Pembroke","60","B",60,0,0,0,0,0,""
"63","Downing","45","G",30,0,0,2,0,2,""
"64","Downing","45","B",30,0,0,0,0,0,"fallen"
"65","Downing","45","RB",30,0,0,0,0,0,"fallen"
"66","Downing","45","G",45,0,0,2,0,2,""
"67","Downing","45","B",45,0,1,0,0,1,""
"68","Downing","45","RB",45,0,0,0,0,0,""
"69","Downing","45","G",60,0,0,3,0,3,""
"70","Downing","45","B",60,1,0,1,0,2,""
"71","Downing","45","RB",60,0,0,0,0,0,""
"73","St. John's","25","G",30,0,0,3,0,3,"fallen"
"74","St. John's","25","G",45,0,0,11,0,11,""
"75","St. John's","25","G",60,0,0,1,0,1,""
"76","St. John's","25","B",30,0,0,1,0,1,""
"77","St. John's","25","B",45,0,0,0,0,0,"fallen"
"78","St. John's","25","B",60,0,0,1,0,1,""
"79","St. John's","25","RB",30,0,0,4,0,4,"fallen"
"80","St. John's","25","RB",45,0,0,0,0,0,"fallen"
"81","St. John's","25","RB",60,0,0,1,0,1,"fallen"
"83","Downing","40","G",30,0,0,8,2,10,""
"84","Downing","40","G",45,0,0,4,0,4,""
"85","Downing","40","G",60,1,3,3,0,7,""
"86","Downing","40","B",30,0,1,4,0,5,""
"87","Downing","40","B",45,0,0,3,0,3,""
"88","Downing","40","B",60,0,2,3,0,5,""
"89","Downing","40","RB",30,0,2,0,0,2,""
"90","Downing","40","RB",45,0,0,1,0,1,""
"91","Downing","40","RB",60,1,0,1,0,2,""
"93","homerton","34","B",30,0,0,2,1,3,""
"94","homerton","34","B",45,0,0,6,0,6,""
"95","homerton","34","B",60,0,0,6,0,6,""
"96","homerton","34","G",30,0,0,1,1,2,""
"97","homerton","34","G",45,0,0,4,1,5,""
"98","homerton","34","G",60,0,0,7,2,9,""
"99","homerton","34","RB",30,0,0,2,2,4,""
"101","homerton","34","RB",60,0,0,0,1,1,""
"104","Trinity","27","B",30,1,0,0,1,2,"fallen"
"105","Trinity","27","B",45,0,0,1,3,4,"fallen"
"110","Trinity","19","B",60,1,0,2,2,5,"fallen"
"111","Trinity","32","G",60,0,0,2,1,3,"fallen"
"114","Kings","40","B",15,1,0,3,0,4,""
"115","Kings","40","G",15,0,0,1,0,1,""
"116","Kings","40","RB",15,0,0,3,0,3,""
"117","Kings","40","B",30,0,0,0,0,0,""
"118","Kings","40","G",30,0,0,0,0,0,""
"119","Kings","40","B",45,0,0,0,0,0,"missing"
"120","Kings","40","G",45,1,0,6,0,7,""
"124","Hughes","30","RB",45,2,0,1,0,3,""
"125","Hughes","30","RB",30,3,0,3,0,6,""
"126","Hughes","30","RB",60,2,0,2,0,4,""
"127","Hughes","30","B",60,1,0,4,0,1,"missing"
"128","Hughes","30","B",30,1,0,3,0,4,""
"129","Hughes","30","B",45,1,1,4,0,6,""
"130","Hughes","30","G",45,3,0,5,0,8,""
"131","Hughes","30","G",30,3,1,6,0,10,""
"132","Hughes","","G",60,0,0,0,0,0,"missing"
"138","Corpus christi","92","B",30,0,0,0,0,0,""
"139","Corpus christi","92","B",45,2,0,3,6,11,""
"140","Corpus christi","92","B",60,0,0,0,0,0,""
"141","Corpus christi","92","G",30,0,0,0,10,10,""
"142","Corpus christi","92","G",45,0,0,1,7,8,""
"143","Corpus christi","92","G",60,1,1,4,8,14,""
"144","Corpus christi","92","RB",30,0,0,0,4,4,""
"145","Corpus christi","92","RB",45,0,0,0,0,0,""
"146","Corpus christi","92","RB",60,0,0,0,3,0,""
"147","Trinity Hall","","B",30,0,0,0,1,1,""
"148","Trinity Hall","","B",45,0,0,0,0,0,""
"149","Trinity Hall","","B",60,1,0,0,1,0,""
"150","Trinity Hall","","G",30,0,0,0,0,0,"missing"
"151","Trinity Hall","","G",45,2,0,1,4,7,""
"152","Trinity Hall","","G",60,1,0,3,5,9,""
"153","Trinity Hall","","RB",30,0,0,1,6,7,""
"154","Trinity Hall","","RB",45,1,0,0,3,4,""
"155","Trinity Hall","","RB",60,0,0,0,0,0,""
"156","Girton","40","B",30,0,0,0,0,0,"missing"
"157","Girton","40","B",45,1,0,3,0,4,""
"158","Girton","40","B",60,0,1,0,7,8,"fallen"
"159","Girton","40","G",30,0,1,5,0,6,""
"160","Girton","40","G",45,1,2,0,0,3,""
"161","Girton","40","G",60,0,0,0,0,0,"missing"
"162","Girton","40","RB",30,1,1,0,5,7,""
"163","Girton","40","RB",45,0,0,0,4,4,""
"164","Girton","40","RB",60,0,0,0,0,0,"fallen"
"166","Wolfson","37","B",30,0,0,3,0,3,"fallen"
"167","Wolfson","37","B",45,0,0,4,0,4,"fallen"
"168","Wolfson","37","B",60,0,0,0,0,0,"missing"
"169","Wolfson","37","RB",30,0,0,0,0,0,"missing"
"170","Wolfson","37","RB",45,0,0,0,0,0,"missing"
"171","Wolfson","37","RB",60,0,0,0,0,0,"missing"
"172","Wolfson","37","G",30,0,0,0,0,0,"missing"
"173","Wolfson","37","G",45,0,0,0,0,0,"missing"
"174","Wolfson","37","G",60,0,0,0,0,0,"missing"
"176","Homerton","34","B",30,0,0,0,0,0,"missing"
"177","Homerton","34","B",45,0,0,0,0,0,"missing"
"178","Homerton","34","B",60,0,0,0,0,0,"missing"
"179","Homerton","34","G",30,0,0,0,0,0,"missing"
"180","Homerton","34","G",45,0,0,5,2,7,""
"181","Homerton","34","G",60,0,0,0,0,0,"missing"
"182","Homerton","34","RB",30,0,0,18,3,21,"fallen"
